I	J	ILEN	JLEN	MATCH	NGAPS	NALIG	NIDENT	%IDENT	NAS	NASAL	NRANS	RMEAN	STDEV	SCORE	PWMATCH
Q1MPW5_LAWIP/9-3	A8L5A7_FRASN/9-3	354	356	2159.00	3	353	152	43.06	611.61	601.42	100	1230.63	18.53	50.10	43
Q1MPW5_LAWIP/9-3	A4FE76_SACEN/9-3	354	356	2223.00	3	353	157	44.48	629.75	619.55	100	1235.38	21.59	45.75	44
Q1MPW5_LAWIP/9-3	Q6PTA3_AZOCA/9-3	354	361	2220.00	3	353	161	45.61	628.90	618.70	100	1241.69	18.65	52.46	45
Q1MPW5_LAWIP/9-3	Q1J410_SPHAL/9-3	354	361	2215.00	3	353	161	45.61	627.48	617.28	100	1244.36	23.68	40.98	46
Q1MPW5_LAWIP/9-3	Q7WXP3_CUPNH/9-3	354	361	2223.00	3	353	159	45.04	629.75	619.55	100	1242.93	21.82	44.91	47
Q1MPW5_LAWIP/9-3	A4BQ13_9GAMM/9-3	354	361	2225.00	3	353	162	45.89	630.31	620.11	100	1246.47	19.08	51.28	48
Q1MPW5_LAWIP/9-3	A5E9B5_BRASB/9-3	354	361	2222.00	3	353	159	45.04	629.46	619.26	100	1244.34	18.22	53.66	49
Q1MPW5_LAWIP/9-3	A1B6P8_PARDP/9-3	354	365	2177.00	5	353	157	44.48	616.71	599.72	100	1249.62	20.02	46.31	50
Q1MPW5_LAWIP/9-3	Q20XQ7_RHOPB/15-	354	368	2203.00	4	353	163	46.18	624.08	610.48	100	1258.50	19.17	49.26	51
Q1MPW5_LAWIP/9-3	A6VPG1_ACTSZ/9-3	354	362	2164.00	3	353	150	42.49	613.03	602.83	100	1242.92	19.18	48.03	52
Q1MPW5_LAWIP/9-3	A3N1X6_ACTP2/9-3	354	362	2146.00	3	353	151	42.78	607.93	597.73	100	1244.83	19.50	46.20	53
Q1MPW5_LAWIP/9-3	A8GEJ9_SERP5/9-3	354	361	2132.00	3	353	151	42.78	603.97	593.77	100	1237.82	20.21	44.26	54
Q1MPW5_LAWIP/9-3	Q6D7U3_ERWCT/9-3	354	361	2156.00	3	353	149	42.21	610.76	600.57	100	1242.85	21.37	42.73	55
Q1MPW5_LAWIP/9-3	Q5PEA0_SALPA/9-3	354	361	2154.00	3	353	157	44.48	610.20	600.00	100	1242.02	19.82	46.02	56
Q1MPW5_LAWIP/9-3	B4U671_HYDS0/7-3	354	354	2088.00	3	350	145	41.43	596.57	586.29	100	1235.31	20.76	41.08	57
Q1MPW5_LAWIP/9-3	O67225_AQUAE/14-	354	364	2177.00	3	354	150	42.37	614.97	604.80	100	1254.75	20.06	45.96	58
Q1MPW5_LAWIP/9-3	A7GYJ2_CAMC5/9-3	354	353	2102.00	1	353	138	39.09	595.47	592.07	100	1235.39	19.81	43.74	59
Q1MPW5_LAWIP/9-3	A7I1P6_CAMHC/9-3	354	353	2122.00	1	353	144	40.79	601.13	597.73	100	1237.72	20.64	42.83	60
Q1MPW5_LAWIP/9-3	B9KGD1_CAMLR/9-3	354	353	2099.00	1	353	137	38.81	594.62	591.22	100	1240.06	23.10	37.19	61
Q1MPW5_LAWIP/9-3	A7H3Q9_CAMJD/9-3	354	353	2119.00	1	353	142	40.23	600.28	596.88	100	1239.53	18.66	47.14	62
Q1MPW5_LAWIP/9-3	Q4HSJ7_CAMUP/9-3	354	353	2096.00	1	353	137	38.81	593.77	590.37	100	1239.61	23.31	36.74	63
Q1MPW5_LAWIP/9-3	Q31DZ2_THICR/15-	354	359	2077.00	4	353	138	39.09	588.39	574.79	100	1244.51	22.27	37.39	64
Q1MPW5_LAWIP/9-3	Q1Z837_PHOPR/13-	354	359	2085.00	4	353	139	39.38	590.65	577.05	100	1246.98	21.66	38.68	65
Q1MPW5_LAWIP/9-3	A1S671_SHEAM/24-	354	359	2075.00	4	353	135	38.24	587.82	574.22	100	1246.04	20.06	41.31	66
Q1MPW5_LAWIP/9-3	Q1ZT04_PHOAS/14-	354	359	2121.00	4	353	147	41.64	600.85	587.25	100	1247.81	21.58	40.47	67
Q1MPW5_LAWIP/9-3	A8H458_SHEPA/13-	354	359	2155.00	4	353	149	42.21	610.48	596.88	100	1248.41	19.81	45.78	68
Q1MPW5_LAWIP/9-3	Q081V8_SHEFN/13-	354	359	2086.00	4	353	139	39.38	590.93	577.34	100	1246.87	20.99	39.98	69
Q1MPW5_LAWIP/9-3	A3QDS5_SHELP/13-	354	359	2080.00	4	353	141	39.94	589.24	575.64	100	1242.83	19.94	41.99	70
Q1MPW5_LAWIP/9-3	A3D3S4_SHEB5/13-	354	359	2116.00	4	353	143	40.51	599.43	585.84	100	1245.12	20.59	42.29	71
Q1MPW5_LAWIP/9-3	A4SLV8_AERS4/13-	354	357	2131.00	3	353	139	39.38	603.68	593.48	100	1243.52	21.81	40.69	72
Q1MPW5_LAWIP/9-3	Q1ZGM9_9GAMM/12-	354	364	2089.00	6	353	141	39.94	591.78	571.39	100	1253.94	21.15	39.49	73
Q1MPW5_LAWIP/9-3	A6Q3M7_NITSB/12-	354	364	2120.00	4	353	147	41.64	600.57	586.97	100	1249.82	19.31	45.08	74
Q1MPW5_LAWIP/9-3	A6QAT8_SULNB/15-	354	366	2072.00	5	353	139	39.38	586.97	569.97	100	1257.51	22.51	36.18	75
Q1MPW5_LAWIP/9-3	A8EUN7_ARCB4/16-	354	358	2070.00	3	353	138	39.09	586.40	576.20	100	1243.68	17.36	47.61	76
Q1MPW5_LAWIP/9-3	Q7M9N5_WOLSU/12-	354	359	2073.00	4	353	136	38.53	587.25	573.65	100	1249.70	21.02	39.17	77
Q1MPW5_LAWIP/9-3	Q7VJC1_HELHP/21-	354	359	2084.00	4	353	136	38.53	590.37	576.77	100	1249.40	22.25	37.51	78
Q1MPW5_LAWIP/9-3	Q17WE6_HELAH/12-	354	359	2081.00	4	353	142	40.23	589.52	575.92	100	1254.93	19.59	42.17	79
Q1MPW5_LAWIP/9-3	Q2RXN4_RHORT/12-	354	364	2127.00	3	354	147	41.53	600.85	590.68	100	1251.34	22.66	38.64	80
Q1MPW5_LAWIP/9-3	B2JX88_BURP8/9-3	354	357	2095.00	2	354	133	37.57	591.81	585.03	100	1240.15	21.47	39.82	81
Q1MPW5_LAWIP/9-3	A5IEY6_LEGPC/9-3	354	357	2144.00	2	354	143	40.40	605.65	598.87	100	1242.63	19.67	45.82	82
Q1MPW5_LAWIP/9-3	Q2SQT0_HAHCH/9-3	354	361	2118.00	3	354	138	38.98	598.31	588.14	100	1239.14	19.07	46.10	83
Q1MPW5_LAWIP/9-3	HYPD_AZOVI/9-370	354	362	2160.00	3	354	150	42.37	610.17	600.00	100	1249.93	19.01	47.88	84
Q1MPW5_LAWIP/9-3	Q2BN39_9GAMM/9-3	354	363	2188.00	3	354	149	42.09	618.08	607.91	100	1250.33	19.42	48.29	85
Q1MPW5_LAWIP/9-3	Q0A730_ALHEH/9-3	354	363	2097.00	3	354	141	39.83	592.37	582.20	100	1243.20	18.34	46.55	86
Q1MPW5_LAWIP/9-3	HYPD1_BRAJA/9-37	354	363	2160.00	3	354	150	42.37	610.17	600.00	100	1246.74	21.25	42.97	87
Q1MPW5_LAWIP/9-3	HYPD2_BRAJA/9-37	354	363	2210.00	3	354	156	44.07	624.29	614.12	100	1245.60	21.25	45.38	88
Q1MPW5_LAWIP/9-3	HYPD_RHILV/9-371	354	363	2150.00	3	354	150	42.37	607.34	597.18	100	1248.79	19.60	45.98	89
Q1MPW5_LAWIP/9-3	Q13BX4_RHOPS/9-3	354	363	2125.00	3	354	148	41.81	600.28	590.11	100	1248.60	20.15	43.50	90
Q1MPW5_LAWIP/9-3	Q20ZZ2_RHOPB/9-3	354	359	2131.00	4	354	150	42.37	601.98	588.42	100	1243.85	20.30	43.71	91
Q1MPW5_LAWIP/9-3	A1KC63_AZOSB/9-3	354	364	2111.00	4	354	147	41.53	596.33	582.77	100	1257.21	21.09	40.48	92
Q1MPW5_LAWIP/9-3	A2SJM7_METPP/9-3	354	363	2146.00	3	354	147	41.53	606.21	596.05	100	1250.22	21.19	42.28	93
Q1MPW5_LAWIP/9-3	A4JRG7_BURVG/9-3	354	362	2125.00	3	354	149	42.09	600.28	590.11	100	1244.89	19.81	44.44	94
Q1MPW5_LAWIP/9-3	Q478N8_DECAR/9-3	354	363	2139.00	3	354	142	40.11	604.24	594.07	100	1253.83	20.53	43.11	95
Q1MPW5_LAWIP/9-3	Q2W6T2_MAGSA/9-3	354	363	2118.00	3	354	137	38.70	598.31	588.14	100	1249.43	22.25	39.04	96
Q1MPW5_LAWIP/9-3	Q0EZV7_9PROT/9-3	354	357	2144.00	1	354	148	41.81	605.65	602.26	100	1240.25	19.05	47.45	97
Q1MPW5_LAWIP/9-3	Q83WU7_THIRO/9-3	354	360	2177.00	4	354	157	44.35	614.97	601.41	100	1242.57	18.68	50.04	98
Q1MPW5_LAWIP/9-3	A0P441_9RHOB/9-3	354	363	2148.00	3	354	148	41.81	606.78	596.61	100	1248.03	18.22	49.38	99
Q1MPW5_LAWIP/9-3	A0P1M6_9RHOB/9-3	354	363	2170.00	3	354	152	42.94	612.99	602.82	100	1245.65	20.68	44.69	100
Q1MPW5_LAWIP/9-3	O28901_ARCFU/14-	354	355	1989.00	8	344	138	40.12	578.20	550.29	100	1238.91	18.14	41.35	101
Q1MPW5_LAWIP/9-3	Q977P6_THELI/8-3	354	361	2058.00	5	352	127	36.08	584.66	567.61	100	1248.30	18.69	43.33	102
Q1MPW5_LAWIP/9-3	O58609_PYRHO/7-3	354	360	2084.00	5	352	134	38.07	592.05	575.00	100	1247.81	20.61	40.57	103
Q1MPW5_LAWIP/9-3	Q5JII1_PYRKO/10-	354	362	2069.00	6	352	135	38.35	587.78	567.33	100	1249.32	20.04	40.91	104
Q1MPW5_LAWIP/9-3	Y993_METJA/6-358	354	353	2141.00	4	351	150	42.74	609.97	596.30	100	1237.50	19.25	46.92	105
Q1MPW5_LAWIP/9-3	Q6M0I1_METMP/10-	354	350	2076.00	6	347	143	41.21	598.27	577.52	100	1230.87	21.33	39.62	106
Q1MPW5_LAWIP/9-3	A6UVF5_META3/7-3	354	366	2142.00	4	352	150	42.61	608.52	594.89	100	1253.88	18.48	48.06	107
Q1MPW5_LAWIP/9-3	O27144_METTH/1-3	354	348	2086.00	6	347	141	40.63	601.15	580.40	100	1228.52	22.04	38.90	108
Q1MPW5_LAWIP/9-3	A5ULS2_METS3/1-3	354	348	2057.00	6	347	138	39.77	592.80	572.05	100	1225.24	20.88	39.83	109
Q1MPW5_LAWIP/9-3	Q2NEU1_METST/1-3	354	347	2014.00	7	346	134	38.73	582.08	557.80	100	1228.41	20.98	37.45	110
Q1MPW5_LAWIP/9-3	Q8TYR6_METKA/5-3	354	346	1985.00	7	343	133	38.78	578.72	554.23	100	1216.39	17.87	43.01	111
Q1MPW5_LAWIP/9-3	Q0W4N4_UNCMA/4-3	354	343	2061.00	6	342	146	42.69	602.63	581.58	100	1219.84	18.85	44.63	112
Q1MPW5_LAWIP/9-3	Q2FMR2_METHJ/1-3	354	340	2136.00	5	340	156	45.88	628.24	610.59	100	1207.51	17.27	53.77	113
Q1MPW5_LAWIP/9-3	A4YFA0_METS5/13-	354	355	1930.00	5	349	116	33.24	553.01	535.82	100	1235.39	21.17	32.81	114
Q1MPW5_LAWIP/9-3	Q8NKV0_ACIAM/14-	354	370	1886.00	8	350	121	34.57	538.86	511.43	100	1259.61	19.24	32.56	115
Q1MPW5_LAWIP/9-3	A1RR05_PYRIL/11-	354	376	1970.00	10	350	136	38.86	562.86	528.57	100	1267.91	22.00	31.92	116
Q1MPW5_LAWIP/9-3	A1S0N0_THEPD/22-	354	373	1974.00	8	350	130	37.14	564.00	536.57	100	1257.21	19.86	36.09	117
Q1MPW5_LAWIP/9-3	A8A9J4_IGNH4/4-3	354	362	1934.00	7	349	120	34.38	554.15	530.09	100	1250.69	19.60	34.86	118
Q1MPW5_LAWIP/9-3	A2BKU8_HYPBU/21-	354	371	2016.00	7	350	134	38.29	576.00	552.00	100	1253.61	21.45	35.54	119
Q1MPW5_LAWIP/9-3	A3DKX4_STAMF/12-	354	364	1938.00	7	351	122	34.76	552.14	528.21	100	1253.06	19.62	34.92	120
Q1MPW5_LAWIP/9-3	Q2IN68_ANADE/14-	354	358	2033.00	5	349	130	37.25	582.52	565.33	100	1244.92	18.80	41.92	121
Q1MPW5_LAWIP/9-3	A1SU74_PSYIN/14-	354	354	1979.00	5	349	123	35.24	567.05	549.86	100	1236.16	19.30	38.50	122
Q1MPW5_LAWIP/9-3	Q8PUL8_METMA/9-3	354	364	2047.00	9	347	146	42.07	589.91	558.79	100	1256.05	19.90	39.75	123
Q1MPW5_LAWIP/9-3	A0L606_MAGSM/2-3	354	361	1840.00	6	350	103	29.43	525.71	505.14	100	1240.34	21.11	28.41	124
Q1MPW5_LAWIP/9-3	F2G4P6_ALTMD/1-3	354	360	1955.00	3	351	120	34.19	556.98	546.72	100	1245.16	20.34	34.89	125
Q1MPW5_LAWIP/9-3	Q2Y8F6_NITMU/1-3	354	361	2002.00	6	350	132	37.71	572.00	551.43	100	1246.05	20.76	36.42	126
Q1MPW5_LAWIP/9-3	A5EUJ0_BRASB/1-3	354	361	1963.00	4	351	126	35.90	559.26	545.58	100	1241.86	22.62	31.88	127
Q1MPW5_LAWIP/9-3	A0LAJ4_MAGSM/2-3	354	358	1950.00	5	348	128	36.78	560.34	543.10	100	1232.97	22.78	31.48	128
Q316I1_DESDG/9-3	Q72F89_DESVH/11-	354	354	2813.00	0	354	262	74.01	794.63	794.63	100	1245.96	21.43	73.12	129
Q316I1_DESDG/9-3	Q6AQR5_DESPS/9-3	354	353	2346.00	1	353	175	49.58	664.59	661.19	100	1243.71	18.00	61.23	130
Q316I1_DESDG/9-3	Q6API1_DESPS/9-3	354	351	2040.00	1	351	131	37.32	581.20	577.78	100	1241.75	19.85	40.21	131
Q316I1_DESDG/9-3	Q2RGH3_MOOTA/9-3	354	362	2275.00	4	351	172	49.00	648.15	634.47	100	1261.66	20.52	49.38	132
Q316I1_DESDG/9-3	Q2LVY3_SYNAS/9-3	354	356	2300.00	2	353	170	48.16	651.56	644.76	100	1246.23	19.09	55.20	133
Q316I1_DESDG/9-3	B8FQW4_DESHD/12-	354	353	2295.00	1	353	172	48.73	650.14	646.74	100	1242.93	19.51	53.93	134
Q316I1_DESDG/9-3	A1HTX9_9FIRM/9-3	354	355	2336.00	3	349	186	53.30	669.34	659.03	100	1256.86	20.25	53.29	135
Q316I1_DESDG/9-3	A5FPQ9_DEHSB/9-3	354	354	2183.00	2	353	154	43.63	618.41	611.61	100	1241.62	19.17	49.09	136
Q316I1_DESDG/9-3	Q97KV5_CLOAB/9-3	354	353	2243.00	1	353	161	45.61	635.41	632.01	100	1238.51	20.79	48.31	137
Q316I1_DESDG/9-3	B8D1S3_HALOH/9-3	354	354	2246.00	2	353	158	44.76	636.26	629.46	100	1235.14	20.44	49.47	138
Q316I1_DESDG/9-3	A7GE79_CLOBL/3-3	354	353	2099.00	1	353	134	37.96	594.62	591.22	100	1223.85	19.59	44.68	139
Q316I1_DESDG/9-3	A6LXR6_CLOB8/2-3	354	357	2129.00	2	353	138	39.09	603.12	596.32	100	1234.73	19.90	44.93	140
Q316I1_DESDG/9-3	Q3ABW4_CARHZ/3-3	354	356	2194.00	3	352	155	44.03	623.30	613.07	100	1245.79	22.26	42.60	141
Q316I1_DESDG/9-3	A5ZMU1_9FIRM/1-3	354	349	2089.00	3	348	150	43.10	600.29	589.94	100	1234.30	19.81	43.16	142
Q316I1_DESDG/9-3	A4CGN2_ROBBH/9-3	354	353	2148.00	1	353	149	42.21	608.50	605.10	100	1246.30	18.75	48.08	143
Q316I1_DESDG/9-3	A5FCZ4_FLAJ1/9-3	354	350	2118.00	2	350	142	40.57	605.14	598.29	100	1232.07	19.46	45.53	144
Q316I1_DESDG/9-3	Q1NVR4_9DELT/9-3	354	391	2166.00	4	352	164	46.59	615.34	601.70	100	1307.47	23.25	36.92	145
Q316I1_DESDG/9-3	A6FYB1_9DELT/9-3	354	360	2125.00	3	354	155	43.79	600.28	590.11	100	1269.94	20.96	40.80	146
Q316I1_DESDG/9-3	A3Z0T6_9SYNE/9-3	354	358	2144.00	1	354	150	42.37	605.65	602.26	100	1257.53	20.12	44.05	147
Q316I1_DESDG/9-3	Q01R78_SOLUE/9-3	354	353	2161.00	1	353	151	42.78	612.18	608.78	100	1239.57	19.43	47.43	148
Q316I1_DESDG/9-3	B4SCQ1_PELPB/9-3	354	353	2195.00	1	353	153	43.34	621.81	618.41	100	1243.58	17.33	54.90	149
Q316I1_DESDG/9-3	B3EEL2_CHLL2/9-3	354	353	2136.00	1	353	147	41.64	605.10	601.70	100	1242.98	18.98	47.04	150
Q316I1_DESDG/9-3	Q8KBJ3_CHLTE/9-3	354	353	2220.00	1	353	164	46.46	628.90	625.50	100	1245.97	18.77	51.89	151
Q316I1_DESDG/9-3	B4S9I9_PROA2/9-3	354	353	2155.00	1	353	160	45.33	610.48	607.08	100	1246.84	21.06	43.12	152
Q316I1_DESDG/9-3	Q01S96_SOLUE/9-3	354	353	2132.00	1	353	149	42.21	603.97	600.57	100	1237.75	24.78	36.09	153
Q316I1_DESDG/9-3	A8LH32_FRASN/9-3	354	353	2190.00	1	353	157	44.48	620.40	617.00	100	1250.28	22.80	41.21	154
Q316I1_DESDG/9-3	Q1IQZ4_KORVE/9-3	354	353	2108.00	1	353	144	40.79	597.17	593.77	100	1240.26	20.85	41.61	155
Q316I1_DESDG/9-3	A0QUN9_MYCS2/9-3	354	353	2184.00	1	353	159	45.04	618.70	615.30	100	1243.33	18.22	51.62	156
Q316I1_DESDG/9-3	Q2JE40_FRASC/9-3	354	353	2201.00	1	353	165	46.74	623.51	620.11	100	1252.04	21.42	44.31	157
Q316I1_DESDG/9-3	B8G3N7_CHLAD/9-3	354	353	2163.00	1	353	151	42.78	612.75	609.35	100	1237.98	18.42	50.22	158
Q316I1_DESDG/9-3	Q825T0_STRAW/9-3	354	353	2207.00	1	353	161	45.61	625.21	621.81	100	1240.13	22.92	42.18	159
Q316I1_DESDG/9-3	Q0RN44_FRAAA/9-3	354	353	2191.00	1	353	158	44.76	620.68	617.28	100	1245.52	20.16	46.90	160
Q316I1_DESDG/9-3	A6C223_9PLAN/9-3	354	353	2123.00	1	353	143	40.51	601.42	598.02	100	1243.68	20.59	42.70	161
Q316I1_DESDG/9-3	Q31KK3_SYNE7/9-3	354	355	2172.00	1	354	152	42.94	613.56	610.17	100	1249.30	21.22	43.48	162
Q316I1_DESDG/9-3	A3ITK3_9CHRO/9-3	354	356	2155.00	3	353	146	41.36	610.48	600.28	100	1249.04	20.89	43.38	163
Q316I1_DESDG/9-3	P72620_SYNY3/9-3	354	356	2162.00	2	353	149	42.21	612.46	605.67	100	1249.66	19.67	46.38	164
Q316I1_DESDG/9-3	Q3M485_ANAVT/9-3	354	357	2221.00	3	353	157	44.48	629.18	618.98	100	1247.01	20.37	47.82	165
Q316I1_DESDG/9-3	A0YJ31_LYNSP/9-3	354	361	2215.00	3	353	157	44.48	627.48	617.28	100	1250.95	19.14	50.38	166
Q316I1_DESDG/9-3	Q117W1_TRIEI/9-3	354	361	2254.00	3	353	165	46.74	638.53	628.33	100	1250.28	17.87	56.15	167
Q316I1_DESDG/9-3	Q6NIV0_CORDI/9-3	354	354	2185.00	4	351	158	45.01	622.51	608.83	100	1240.33	22.52	41.95	168
Q316I1_DESDG/9-3	A0QVU9_MYCS2/9-3	354	355	2135.00	3	353	151	42.78	604.82	594.62	100	1242.46	18.38	48.55	169
Q316I1_DESDG/9-3	A8L5A7_FRASN/9-3	354	356	2153.00	3	353	152	43.06	609.92	599.72	100	1245.49	18.97	47.84	170
Q316I1_DESDG/9-3	A4FE76_SACEN/9-3	354	356	2162.00	3	353	150	42.49	612.46	602.27	100	1238.19	22.07	41.86	171
Q316I1_DESDG/9-3	Q6PTA3_AZOCA/9-3	354	361	2236.00	3	353	167	47.31	633.43	623.23	100	1259.08	20.26	48.22	172
Q316I1_DESDG/9-3	Q1J410_SPHAL/9-3	354	361	2199.00	3	353	156	44.19	622.95	612.75	100	1257.13	20.36	46.26	173
Q316I1_DESDG/9-3	Q7WXP3_CUPNH/9-3	354	361	2186.00	3	353	154	43.63	619.26	609.07	100	1254.29	19.38	48.09	174
Q316I1_DESDG/9-3	A4BQ13_9GAMM/9-3	354	361	2201.00	4	353	162	45.89	623.51	609.92	100	1252.02	21.53	44.07	175
Q316I1_DESDG/9-3	A5E9B5_BRASB/9-3	354	361	2185.00	3	353	156	44.19	618.98	608.78	100	1251.16	20.77	44.97	176
Q316I1_DESDG/9-3	A1B6P8_PARDP/9-3	354	365	2212.00	4	353	161	45.61	626.63	613.03	100	1263.18	18.22	52.08	177
Q316I1_DESDG/9-3	Q20XQ7_RHOPB/15-	354	368	2207.00	4	353	165	46.74	625.21	611.61	100	1268.45	19.25	48.75	178
