I	J	ILEN	JLEN	MATCH	NGAPS	NALIG	NIDENT	%IDENT	NAS	NASAL	NRANS	RMEAN	STDEV	SCORE	PWMATCH
d1arba_/1-263	d1azza_/1-226	263	226	865.00	6	220	42	19.09	393.18	360.45	100	850.80	18.57	0.76	36
d1arba_/1-263	d1eufa_/1-224	263	224	869.00	9	213	47	22.07	407.98	357.28	100	831.24	15.36	2.46	37
d1arba_/1-263	d1elta_/1-236	263	236	935.00	9	234	51	21.79	399.57	353.42	100	892.03	14.76	2.91	38
d1arba_/1-263	d3hgpa_/1-240	263	240	902.00	9	236	45	19.07	382.20	336.44	100	893.91	20.24	0.40	39
d1arba_/1-263	d1brup_/1-241	263	241	943.00	10	225	54	24.00	419.11	365.78	100	898.15	21.06	2.13	40
d1arba_/1-263	d1m9ua_/1-241	263	241	957.00	7	230	51	22.17	416.09	379.57	100	916.23	19.45	2.10	41
d1arba_/1-263	d1ekbb_/1-235	263	235	907.00	8	233	48	20.60	389.27	348.07	100	853.70	17.82	2.99	42
d1arba_/1-263	d1rrka1/1-287	263	287	946.00	9	248	40	16.13	381.45	337.90	100	939.04	18.66	0.37	43
d1arba_/1-263	d2xw9a_/1-228	263	228	868.00	7	227	39	17.18	382.38	345.37	100	840.14	17.48	1.59	44
d1arba_/1-263	d1orfa_/1-232	263	232	890.00	8	223	40	17.94	399.10	356.05	100	843.74	17.94	2.58	45
d1arba_/1-263	d1iaua_/1-226	263	226	860.00	8	219	44	20.09	392.69	348.86	100	830.87	13.73	2.12	46
d1arba_/1-263	d1fi8a_/1-227	263	227	880.00	10	221	42	19.00	398.19	343.89	100	835.52	14.92	2.98	47
d1arba_/1-263	d1mzaa_/1-240	263	240	886.00	7	232	38	16.38	381.90	345.69	100	875.08	18.35	0.60	48
d1arba_/1-263	d1a7sa_/1-225	263	225	869.00	8	221	42	19.00	393.21	349.77	100	841.80	14.84	1.83	49
d1arba_/1-263	d1si5h_/1-234	263	234	855.00	7	226	34	15.04	378.32	341.15	100	847.04	18.17	0.44	50
d1arba_/1-263	d1z8ga1/1-255	263	255	933.00	10	246	45	18.29	379.27	330.49	100	911.61	17.38	1.23	51
d1arba_/1-263	d2hlca_/1-230	263	230	909.00	9	225	46	20.44	404.00	356.00	100	849.04	15.88	3.78	52
d1arba_/1-263	d1lo6a_/1-221	263	221	867.00	9	214	44	20.56	405.14	354.67	100	818.88	16.11	2.99	53
d1arba_/1-263	g2pka.1/1-233	263	233	887.00	13	222	50	22.52	399.55	329.28	100	852.60	18.08	1.90	54
d1arba_/1-263	d1ao5a_/1-237	263	237	884.00	7	232	37	15.95	381.03	344.83	100	855.58	18.63	1.53	55
d1arba_/1-263	d1q3xa1/1-242	263	242	927.00	5	241	36	14.94	384.65	359.75	100	879.76	16.57	2.85	56
d1arba_/1-263	d3ncla_/1-241	263	241	921.00	7	234	46	19.66	393.59	357.69	100	872.75	16.08	3.00	57
d1arba_/1-263	d1fuja_/1-221	263	221	873.00	9	221	41	18.55	395.02	346.15	100	813.06	16.42	3.65	58
d1arba_/1-263	d1npma_/1-225	263	225	862.00	8	221	44	19.91	390.05	346.61	100	832.82	19.28	1.51	59
d1arba_/1-263	d1ddja_/1-247	263	247	928.00	8	229	45	19.65	405.24	363.32	100	880.17	18.47	2.59	60
d1arba_/1-263	d1fona_/1-232	263	232	916.00	12	215	57	26.51	426.05	359.07	100	861.67	21.23	2.56	61
d1arba_/1-263	d1pytc_/1-248	263	248	955.00	13	226	60	26.55	422.57	353.54	100	899.83	17.49	3.15	62
d1arba_/1-263	d1gvza_/1-237	263	237	874.00	10	227	46	20.26	385.02	332.16	100	853.44	16.66	1.23	63
d1arba_/1-263	d1a5ia_/1-265	263	265	925.00	9	244	45	18.44	379.10	334.84	100	919.10	18.14	0.33	64
d1arba_/1-263	g1ucy.1/1-297	263	297	961.00	12	257	48	18.68	373.93	317.90	100	948.76	19.60	0.62	65
d1arba_/1-263	g1h8d.1/1-290	263	290	962.00	8	254	44	17.32	378.74	340.94	100	936.96	18.77	1.33	66
d1arba_/1-263	g1jou.1/1-305	263	305	964.00	9	260	41	15.77	370.77	329.23	100	957.98	17.20	0.35	67
d1arba_/1-263	g1vr1.1/1-287	263	287	968.00	11	252	48	19.05	384.13	331.75	100	934.47	17.49	1.92	68
d1arba_/1-263	g2hnt.1/1-265	263	265	928.00	7	238	42	17.65	389.92	354.62	100	901.26	16.13	1.66	69
d1arba_/1-263	d1tona_/1-235	263	235	868.00	7	228	34	14.91	380.70	343.86	100	859.14	18.85	0.47	70
d1arba_/1-263	d1hj8a_/1-222	263	222	869.00	10	219	46	21.00	396.80	342.01	100	843.73	15.53	1.63	71
d1arba_/1-263	d1a0ja_/1-223	263	223	877.00	7	221	39	17.65	396.83	358.82	100	857.12	17.03	1.17	72
d1arba_/1-263	d4i8ha_/1-223	263	223	884.00	11	212	49	23.11	416.98	354.72	100	858.44	14.08	1.82	73
d1arba_/1-263	d1ezxc_/1-199	263	199	818.00	10	196	41	20.92	417.35	356.12	100	784.74	16.06	2.07	74
d1arba_/1-263	d1gdna_/1-224	263	224	923.00	10	219	53	24.20	421.46	366.67	100	879.32	17.88	2.44	75
d1arba_/1-263	d2ra3a_/1-224	263	224	878.00	10	213	46	21.60	412.21	355.87	100	843.66	16.11	2.13	76
d1arba_/1-263	d3p95a_/1-224	263	224	862.00	9	217	42	19.35	397.24	347.47	100	837.81	16.79	1.44	77
d1arba_/1-263	d2f91a1/1-237	263	237	896.00	8	237	42	17.72	378.06	337.55	100	877.85	15.55	1.17	78
d1arba_/1-263	d3fp7e_/1-223	263	223	864.00	10	214	45	21.03	403.74	347.66	100	835.64	16.80	1.69	79
d1arba_/1-263	d2a31a_/1-223	263	223	877.00	8	215	46	21.40	407.91	363.26	100	848.85	16.87	1.67	80
d1arba_/1-263	g1rtf.1/1-261	263	261	917.00	7	246	39	15.85	372.76	338.62	100	908.36	17.16	0.50	81
d1arba_/1-263	d3mhwu_/1-247	263	247	889.00	12	235	46	19.57	378.30	317.02	100	885.18	17.03	0.22	82
d1arba_/1-263	d1bqya_/1-234	263	234	890.00	10	225	46	20.44	395.56	342.22	100	851.74	16.16	2.37	83
d1arba_/1-263	d1op0a_/1-234	263	234	879.00	9	226	40	17.70	388.94	341.15	100	859.23	17.50	1.13	84
d1arba_/1-263	d2aiqa_/1-231	263	231	897.00	13	225	52	23.11	398.67	329.33	100	849.18	17.52	2.73	85
d1arba_/1-263	d2eeka_/1-220	263	220	856.00	9	215	45	20.93	398.14	347.91	100	834.76	14.85	1.43	86
d1arba_/1-263	d3s9ba_/1-234	263	234	906.00	12	227	47	20.70	399.12	335.68	100	852.40	17.09	3.14	87
d1arba_/1-263	d3s69a_/1-234	263	234	896.00	10	225	43	19.11	398.22	344.89	100	851.77	16.60	2.66	88
d1arba_/1-263	d2rdla_/1-226	263	226	867.00	7	220	40	18.18	394.09	355.91	100	821.56	17.51	2.59	89
d1arba_/1-263	d4e7na_/1-238	263	238	929.00	11	229	51	22.27	405.68	348.03	100	862.84	15.88	4.17	90
d1arba_/1-263	d2y5fa_/1-234	263	234	875.00	5	228	39	17.11	383.77	357.46	100	854.26	18.24	1.14	91
d1arba_/1-263	d2anya_/1-238	263	238	890.00	9	225	45	20.00	395.56	347.56	100	862.57	18.25	1.50	92
d1arba_/1-263	d2bz6h_/1-254	263	254	933.00	7	235	48	20.43	397.02	361.28	100	894.17	17.17	2.26	93
d1arba_/1-263	d2wphs_/1-235	263	235	874.00	8	228	44	19.30	383.33	341.23	100	860.47	16.51	0.82	94
d1arba_/1-263	d1spja_/1-238	263	238	900.00	6	233	38	16.31	386.27	355.36	100	857.18	16.23	2.64	95
d1arba_/1-263	d2f9na_/1-243	263	243	909.00	8	230	45	19.57	395.22	353.48	100	858.18	17.55	2.90	96
d1arba_/1-263	d2z7fe_/1-218	263	218	865.00	8	214	45	21.03	404.21	359.35	100	814.74	16.01	3.14	97
d1arba_/1-263	d4dgja_/1-235	263	235	918.00	10	221	52	23.53	415.38	361.09	100	857.23	17.98	3.38	98
d1arba_/1-263	d3tjva_/1-225	263	225	857.00	8	218	44	20.18	393.12	349.08	100	826.89	17.09	1.76	99
d1arba_/1-263	d2zchp_/1-237	263	237	879.00	7	230	40	17.39	382.17	345.65	100	854.93	16.79	1.43	100
d1arba_/1-263	d4gsoa_/1-232	263	232	884.00	10	224	45	20.09	394.64	341.07	100	852.19	17.73	1.79	101
d1arba_/1-263	d3g01a_/1-227	263	227	906.00	8	219	49	22.37	413.70	369.86	100	837.79	15.87	4.30	102
d1arba_/1-263	d3u1jb_/1-166	263	166	727.00	8	166	42	25.30	437.95	380.12	100	663.06	14.76	4.33	103
d1arba_/1-263	d2fomb1/1-150	263	150	639.00	7	149	37	24.83	428.86	372.48	100	606.51	13.15	2.47	104
d1arba_/1-263	g1dy9.1/1-188	263	188	753.00	9	186	40	21.51	404.84	346.77	100	735.53	13.52	1.29	105
d1arba_/1-263	g1n1l.1/1-202	263	202	784.00	8	196	42	21.43	400.00	351.02	100	774.36	13.07	0.74	106
d1arba_/1-263	g1n1l.2/1-170	263	170	704.00	9	170	39	22.94	414.12	350.59	100	673.13	15.17	2.04	107
d1arba_/1-263	d1cu1a1/1-201	263	201	806.00	10	199	41	20.60	405.03	344.72	100	778.62	15.74	1.74	108
d1arba_/1-263	d1dxwa_/1-165	263	165	674.00	9	163	36	22.09	413.50	347.24	100	661.34	14.42	0.88	109
d1arba_/1-263	d2fp7b1/1-152	263	152	627.00	8	150	37	24.67	418.00	354.00	100	611.26	11.44	1.38	110
d1arba_/1-263	d1mbma_/1-198	263	198	791.00	7	196	40	20.41	403.57	360.71	100	782.52	14.62	0.58	111
d1arba_/1-263	d1lvmb_/1-219	263	219	837.00	9	214	39	18.22	391.12	340.65	100	814.72	16.25	1.37	112
d1arba_/1-263	d1q31a_/1-239	263	239	865.00	7	217	36	16.59	398.62	359.91	100	866.08	16.49	-0.07	113
d1arba_/1-263	d1vcpa_/1-149	263	149	650.00	8	149	37	24.83	436.24	371.81	100	599.30	11.71	4.33	114
d1arba_/1-263	d1svpa_/1-160	263	160	668.00	5	158	34	21.52	422.78	384.81	100	640.62	13.71	2.00	115
d1arba_/1-263	d1ep5a_/1-156	263	156	654.00	6	156	35	22.44	419.23	373.08	100	617.86	14.00	2.58	116
d1arba_/1-263	d4agka_/1-152	263	152	645.00	6	152	33	21.71	424.34	376.97	100	616.34	12.27	2.34	117
d1arba_/1-263	d3keea_/1-178	263	178	720.00	8	176	37	21.02	409.09	354.55	100	703.30	12.48	1.34	118
d1arba_/1-263	d3sv8a_/1-193	263	193	760.00	8	190	41	21.58	400.00	349.47	100	756.01	15.19	0.26	119
d1arba_/1-263	d2ggvb_/1-169	263	169	692.00	7	169	39	23.08	409.47	359.76	100	672.41	14.66	1.34	120
d1arba_/1-263	d3e90b_/1-176	263	176	718.00	8	174	42	24.14	412.64	357.47	100	694.95	14.94	1.54	121
d1arba_/1-263	d2hrva_/1-139	263	139	559.00	8	139	30	21.58	402.16	333.09	100	552.60	12.79	0.50	122
d1arba_/1-263	d2bhga1/1-199	263	199	755.00	9	197	35	17.77	383.25	328.43	100	761.75	16.80	-0.40	123
d1arba_/1-263	d3sjia_/1-179	263	179	691.00	7	178	30	16.85	388.20	341.01	100	688.36	12.71	0.21	124
d1arba_/1-263	d3q3ya_/1-181	263	181	717.00	8	181	38	20.99	396.13	343.09	100	698.33	14.16	1.32	125
d1arba_/1-263	d2hala_/1-212	263	212	796.00	9	210	31	14.76	379.05	327.62	100	795.70	18.49	0.02	126
d1arba_/1-263	d1cqqa_/1-180	263	180	717.00	9	179	39	21.79	400.56	340.22	100	698.12	14.09	1.34	127
d1arba_/1-263	d2zu2a_/1-300	263	300	965.00	9	242	48	19.83	398.76	354.13	100	975.21	19.42	-0.53	128
d1arba_/1-263	d3tloa_/1-302	263	302	958.00	8	259	35	13.51	369.88	332.82	100	985.19	17.01	-1.60	129
d1arba_/1-263	d3d23a_/1-302	263	302	972.00	10	257	43	16.73	378.21	331.52	100	976.53	16.92	-0.27	130
d1arba_/1-263	d3tnta_/1-306	263	306	988.00	10	259	50	19.31	381.47	335.14	100	975.42	17.71	0.71	131
d1arba_/1-263	d1lvoa_/1-299	263	299	979.00	3	261	33	12.64	375.10	361.30	100	981.14	18.94	-0.11	132
d1arba_/1-263	d3zvea_/1-189	263	189	753.00	10	189	42	22.22	398.41	334.92	100	725.72	14.05	1.94	133
d1arba_/1-263	d4dcda_/1-184	263	184	729.00	11	184	43	23.37	396.20	324.46	100	718.88	13.60	0.74	134
d1arba_/1-263	d2ea3a_/1-183	263	183	781.00	8	183	42	22.95	426.78	374.32	100	746.65	13.67	2.51	135
d1arba_/1-263	d3stia_/1-228	263	228	876.00	6	224	39	17.41	391.07	358.93	100	851.29	16.91	1.46	136
d1arba_/1-263	d2qxia_/1-224	263	224	864.00	8	222	40	18.02	389.19	345.95	100	835.53	16.49	1.73	137
d1arba_/1-263	d3gylb_/1-247	263	247	921.00	9	239	45	18.83	385.36	340.17	100	894.60	18.82	1.40	138
d1arba_/1-263	d2oq5a_/1-232	263	232	934.00	7	230	47	20.43	406.09	369.57	100	862.46	18.06	3.96	139
d1arba_/1-263	d2bdga_/1-223	263	223	852.00	8	218	37	16.97	390.83	346.79	100	829.75	16.08	1.38	140
d1arba_/1-263	d2asub_/1-225	263	225	874.00	10	223	44	19.73	391.93	338.12	100	829.88	16.89	2.61	141
d1arba_/1-263	d2odpa2/1-288	263	288	957.00	9	246	44	17.89	389.02	345.12	100	947.35	18.93	0.51	142
d1arba_/1-263	d2zgca_/1-231	263	231	888.00	8	223	43	19.28	398.21	355.16	100	845.21	16.42	2.61	143
d1arba_/1-263	d3tjoa_/1-211	263	211	820.00	5	211	32	15.17	388.63	360.19	100	790.61	14.64	2.01	144
d1arba_/1-263	d2psxa_/1-227	263	227	868.00	8	217	40	18.43	400.00	355.76	100	835.43	15.84	2.06	145
d1arba_/1-263	d2qy0b_/1-240	263	240	891.00	10	232	44	18.97	384.05	332.33	100	865.50	15.90	1.60	146
d1arba_/1-263	d3govb_/1-251	263	251	896.00	8	232	39	16.81	386.21	344.83	100	886.75	16.20	0.57	147
d1arba_/1-263	d3qzra_/1-180	263	180	706.00	6	180	29	16.11	392.22	352.22	100	694.99	15.16	0.73	148
d1arba_/1-263	d4fvda_/1-138	263	138	578.00	8	138	37	26.81	418.84	349.28	100	562.52	12.46	1.24	149
d1arba_/1-263	d2q6fa_/1-301	263	301	983.00	6	263	37	14.07	373.76	346.39	100	981.33	18.48	0.09	150
d1arba_/1-263	d2ouaa_/1-188	263	188	808.00	9	187	48	25.67	432.09	374.33	100	763.38	15.27	2.92	151
d1arba_/1-263	d3h7oa_/1-228	263	228	864.00	9	226	42	18.58	382.30	334.51	100	833.20	17.58	1.75	152
d1arba_/1-263	d3h7ta_/1-235	263	235	864.00	9	225	41	18.22	384.00	336.00	100	854.71	14.26	0.65	153
d1arba_/1-263	d2as9a_/1-207	263	207	839.00	5	206	37	17.96	407.28	378.16	100	784.69	14.59	3.72	154
d1arba_/1-263	d2vida_/1-204	263	204	819.00	9	201	44	21.89	407.46	353.73	100	784.35	15.55	2.23	155
d1arba_/1-263	d3ufaa_/1-200	263	200	844.00	10	194	44	22.68	435.05	373.20	100	770.71	13.85	5.29	156
d1arba_/1-263	d2pfea_/1-186	263	186	760.00	8	183	44	24.04	415.30	362.84	100	759.75	14.93	0.02	157
d1arba_/1-263	d3mmga_/1-217	263	217	864.00	7	217	41	18.89	398.16	359.45	100	808.67	18.74	2.95	158
d1arba_/1-263	d1ym0a_/1-238	263	238	907.00	8	229	49	21.40	396.07	354.15	100	883.77	17.64	1.32	159
d2h5ca_/1-198	d1agja_/1-242	198	242	758.00	7	198	38	19.19	382.83	340.40	100	743.54	14.33	1.01	160
d2h5ca_/1-198	d1qtfa_/1-246	198	246	759.00	6	195	40	20.51	389.23	352.31	100	744.51	14.07	1.03	161
d2h5ca_/1-198	d1hpga_/1-187	198	187	993.00	6	183	70	38.25	542.62	503.28	100	732.96	16.18	16.07	162
d2h5ca_/1-198	d1p3ca_/1-215	198	215	757.00	8	190	40	21.05	398.42	347.89	100	759.56	16.03	-0.16	163
d2h5ca_/1-198	d1lcya2/1-205	198	205	731.00	6	179	39	21.79	408.38	368.16	100	713.72	14.16	1.22	164
d2h5ca_/1-198	d2sgaa_/1-181	198	181	944.00	6	179	64	35.75	527.37	487.15	100	713.45	17.13	13.46	165
d2h5ca_/1-198	d3cs0a3/1-249	198	249	821.00	6	188	42	22.34	436.70	398.40	100	776.25	15.55	2.88	166
d2h5ca_/1-198	d1l1ja_/1-228	198	228	772.00	6	188	38	20.21	410.64	372.34	100	731.11	15.41	2.65	167
d2h5ca_/1-198	d2z9ia2/1-221	198	221	806.00	5	193	41	21.24	417.62	386.53	100	764.77	15.59	2.64	168
d2h5ca_/1-198	d2sfaa_/1-191	198	191	974.00	7	185	68	36.76	526.49	481.08	100	732.77	14.68	16.44	169
d2h5ca_/1-198	d3beua_/1-224	198	224	788.00	9	190	43	22.63	414.74	357.89	100	759.06	13.24	2.19	170
d2h5ca_/1-198	d1os8a_/1-223	198	223	802.00	4	191	40	20.94	419.90	394.76	100	762.65	13.46	2.92	171
d2h5ca_/1-198	d3i77a_/1-230	198	230	779.00	8	189	41	21.69	412.17	361.38	100	766.86	14.24	0.85	172
d2h5ca_/1-198	d2o8la_/1-216	198	216	770.00	7	198	35	17.68	388.89	346.46	100	730.22	15.20	2.62	173
d2h5ca_/1-198	d3lgia_/1-220	198	220	799.00	7	189	45	23.81	422.75	378.31	100	743.52	13.10	4.24	174
d2h5ca_/1-198	d2qa9e_/1-185	198	185	968.00	6	181	68	37.57	534.81	495.03	100	720.36	15.11	16.39	175
d2h5ca_/1-198	g1gg6.1/1-240	198	240	808.00	8	193	43	22.28	418.65	368.91	100	769.42	14.55	2.65	176
d2h5ca_/1-198	d1pytd_/1-251	198	251	807.00	10	194	48	24.74	415.98	354.12	100	757.40	14.97	3.31	177
d2h5ca_/1-198	g1kdq.1/1-226	198	226	784.00	7	192	39	20.31	408.33	364.58	100	741.46	14.74	2.89	178
d2h5ca_/1-198	d1eq9a_/1-222	198	222	766.00	6	195	40	20.51	392.82	355.90	100	729.17	14.79	2.49	179
d2h5ca_/1-198	d1sgfa_/1-228	198	228	739.00	10	190	39	20.53	388.95	325.79	100	713.05	14.62	1.78	180
d2h5ca_/1-198	d1sgfg_/1-237	198	237	794.00	12	188	49	26.06	422.34	345.74	100	726.53	17.07	3.95	181
d2h5ca_/1-198	d1autc_/1-240	198	240	757.00	10	189	43	22.75	400.53	337.04	100	731.86	16.47	1.53	182
d2h5ca_/1-198	g1fiz.1/1-277	198	277	786.00	11	185	51	27.57	424.86	353.51	100	765.13	15.38	1.36	183
d2h5ca_/1-198	g1fiw.1/1-275	198	275	797.00	10	189	49	25.93	421.69	358.20	100	767.06	13.95	2.15	184
d2h5ca_/1-198	d2fpza_/1-243	198	243	761.00	9	190	44	23.16	400.53	343.68	100	723.44	14.28	2.63	185
d2h5ca_/1-198	d1cgha_/1-224	198	224	780.00	6	195	38	19.49	400.00	363.08	100	732.63	18.19	2.60	186
d2h5ca_/1-198	d4k60a_/1-226	198	226	780.00	8	185	44	23.78	421.62	369.73	100	728.14	14.82	3.50	187
d2h5ca_/1-198	d3rp2a_/1-224	198	224	763.00	9	182	45	24.73	419.23	359.89	100	721.93	15.37	2.67	188
d2h5ca_/1-198	d1pfxc_/1-235	198	235	777.00	8	189	41	21.69	411.11	360.32	100	743.72	15.79	2.11	189
d2h5ca_/1-198	d1kigh_/1-241	198	241	771.00	9	191	44	23.04	403.66	347.12	100	747.64	14.88	1.57	190
d2h5ca_/1-198	d1fxya_/1-228	198	228	784.00	8	188	44	23.40	417.02	365.96	100	742.88	16.10	2.55	191
d2h5ca_/1-198	d3bg8a_/1-238	198	238	756.00	9	191	38	19.90	395.81	339.27	100	739.83	13.88	1.17	192
d2h5ca_/1-198	d1elva1/1-259	198	259	806.00	8	193	46	23.83	417.62	367.88	100	754.22	17.65	2.93	193
d2h5ca_/1-198	d1azza_/1-226	198	226	794.00	14	188	57	30.32	422.34	332.98	100	749.49	16.27	2.74	194
d2h5ca_/1-198	d1eufa_/1-224	198	224	765.00	7	192	40	20.83	398.44	354.69	100	727.06	15.16	2.50	195
d2h5ca_/1-198	d1elta_/1-236	198	236	801.00	7	188	44	23.40	426.06	381.38	100	769.56	16.33	1.92	196
d2h5ca_/1-198	d3hgpa_/1-240	198	240	821.00	11	193	55	28.50	425.39	356.99	100	765.51	14.57	3.81	197
d2h5ca_/1-198	d1brup_/1-241	198	241	816.00	9	194	46	23.71	420.62	364.95	100	764.53	15.74	3.27	198
d2h5ca_/1-198	d1m9ua_/1-241	198	241	787.00	9	191	46	24.08	412.04	355.50	100	786.85	15.73	0.01	199
d2h5ca_/1-198	d1ekbb_/1-235	198	235	779.00	9	189	43	22.75	412.17	355.03	100	735.56	15.49	2.80	200
d2h5ca_/1-198	d1rrka1/1-287	198	287	800.00	13	196	56	28.57	408.16	328.57	100	750.05	13.27	3.76	201
d2h5ca_/1-198	d2xw9a_/1-228	198	228	756.00	7	186	42	22.58	406.45	361.29	100	736.16	15.56	1.28	202
d2h5ca_/1-198	d1orfa_/1-232	198	232	783.00	7	194	43	22.16	403.61	360.31	100	734.79	13.36	3.61	203
d2h5ca_/1-198	d1iaua_/1-226	198	226	746.00	8	190	37	19.47	392.63	342.11	100	719.05	13.95	1.93	204
d2h5ca_/1-198	d1fi8a_/1-227	198	227	755.00	7	195	36	18.46	387.18	344.10	100	731.03	15.83	1.51	205
d2h5ca_/1-198	d1mzaa_/1-240	198	240	809.00	11	196	52	26.53	412.76	345.41	100	747.20	15.01	4.12	206
d2h5ca_/1-198	d1a7sa_/1-225	198	225	774.00	10	189	50	26.46	409.52	346.03	100	747.15	15.08	1.78	207
d2h5ca_/1-198	d1si5h_/1-234	198	234	750.00	7	190	36	18.95	394.74	350.53	100	737.24	15.10	0.84	208
d2h5ca_/1-198	d1z8ga1/1-255	198	255	820.00	9	195	50	25.64	420.51	365.13	100	765.41	14.25	3.83	209
d2h5ca_/1-198	d2hlca_/1-230	198	230	770.00	9	190	42	22.11	405.26	348.42	100	737.67	16.29	1.98	210
d2h5ca_/1-198	d1lo6a_/1-221	198	221	765.00	11	185	45	24.32	413.51	342.16	100	716.46	14.61	3.32	211
d2h5ca_/1-198	g2pka.1/1-233	198	233	786.00	10	187	50	26.74	420.32	356.15	100	726.19	14.30	4.18	212
d2h5ca_/1-198	d1ao5a_/1-237	198	237	781.00	10	187	49	26.20	417.65	353.48	100	727.84	13.19	4.03	213
d2h5ca_/1-198	d1q3xa1/1-242	198	242	794.00	9	190	48	25.26	417.89	361.05	100	748.51	14.70	3.09	214
d2h5ca_/1-198	d3ncla_/1-241	198	241	794.00	11	188	51	27.13	422.34	352.13	100	746.79	17.16	2.75	215
d2h5ca_/1-198	d1fuja_/1-221	198	221	738.00	7	195	42	21.54	378.46	335.38	100	719.53	14.06	1.31	216
